delta,ci_lo,ci_hi,p_value,n_bootstrap,comparison,metric
-0.013368719038837296,-0.016726420575017192,-0.009989763864909521,0.0,10000,ens_vs_home_constant,log_loss
-0.00659336643757949,-0.008212110898577683,-0.0049579765589676935,0.0,10000,ens_vs_home_constant,brier_score
-0.005905461288527869,-0.008328493052048849,-0.0035194732063463818,0.0,10000,ens_vs_prior_winpct,log_loss
-0.0029017821769171948,-0.004053633421512812,-0.0017492684515240215,0.0,10000,ens_vs_prior_winpct,brier_score
-0.00026720926361822883,-0.0011816120910535383,0.000657378089617613,0.2847,10000,ens_vs_lr_only,log_loss
-8.712490664464223e-05,-0.0005241541252765859,0.0003503253887710617,0.3466,10000,ens_vs_lr_only,brier_score
-0.002483011270362101,-0.003526151867811278,-0.0014698743428045475,0.0,10000,ens_vs_xgb_only,log_loss
-0.0011974462809838105,-0.001697064717051134,-0.000711349774453446,0.0,10000,ens_vs_xgb_only,brier_score
9.711077240792676e-05,-0.000521474455623877,0.0007249414446135637,0.3753,10000,calibrated_vs_uncalibrated,log_loss
5.941514222695954e-05,-0.000214737000576673,0.00033723221150129323,0.3326,10000,calibrated_vs_uncalibrated,brier_score
