game_date,home_team,away_team,home_sp_name,away_sp_name,game_time,model_fair,home_win_prob_lr,home_win_prob_xgb,kalshi_mid,kalshi_yes_bid,kalshi_yes_ask,kalshi_spread,kalshi_volume,edge,abs_edge,conviction,quote_bid,quote_ask,sp_confidence,market_ticker
2026-03-30,TOR,COL,Cody Ponce,Tomoyuki Sugano,2026-03-30T23:07:00Z,0.5684757136511127,0.5967216857346225,0.52990353,0.7,0.69,0.71,0.020000000000000018,13982.0,-0.13152428634888724,0.13152428634888724,strong,0.5384757136511127,0.5984757136511127,0.5,KXMLBGAME-26MAR301907COLTOR-TOR
2026-03-30,STL,NYM,Kyle Leahy,Clay Holmes,2026-03-30T23:45:00Z,0.5489896363557198,0.5190755564201105,0.58983976,0.425,0.42,0.43,0.010000000000000009,297.0,0.12398963635571986,0.12398963635571986,strong,0.5189896363557198,0.5789896363557199,0.9751291512816547,KXMLBGAME-26MAR301945NYMSTL-STL
2026-03-30,LAD,CLE,Roki Sasaki,Parker Messick,2026-03-31T02:10:00Z,0.5434171068494653,0.5423490528866999,0.5448756,0.655,0.65,0.66,0.010000000000000009,16584.0,-0.11158289315053471,0.11158289315053471,strong,0.5134171068494653,0.5734171068494653,0.8597120098010316,KXMLBGAME-26MAR302210CLELAD-LAD
2026-03-30,SD,SF,Walker Buehler,Landen Roupp,2026-03-31T01:40:00Z,0.5930119782214403,0.5999742855119228,0.5835044,0.515,0.51,0.52,0.010000000000000009,2333.0,0.07801197822144024,0.07801197822144024,strong,0.5630119782214402,0.6230119782214403,0.9949810847328271,KXMLBGAME-26MAR302140SFSD-SD
2026-03-30,PHI,WSH,Taijuan Walker,Foster Griffin,2026-03-30T22:40:00Z,0.6566422527781273,0.674538547553228,0.6322034,0.62,0.61,0.63,0.020000000000000018,2973.0,0.03664225277812727,0.03664225277812727,watch,0.6266422527781272,0.6866422527781273,0.5,KXMLBGAME-26MAR301840WSHPHI-PHI
2026-03-30,MIA,CWS,Chris Paddack,Davis Martin,2026-03-30T22:40:00Z,0.5893882333698988,0.6008115057177971,0.5737888,0.555,0.55,0.56,0.010000000000000009,13302.0,0.03438823336989871,0.03438823336989871,watch,0.5593882333698987,0.6193882333698988,1.0,KXMLBGAME-26MAR301840CWSMIA-MIA
2026-03-30,SEA,NYY,Luis Castillo,Ryan Weathers,2026-03-31T01:40:00Z,0.5393670200082508,0.5565385031782378,0.51591796,0.505,0.5,0.51,0.010000000000000009,3128.0,0.03436702000825076,0.03436702000825076,watch,0.5093670200082507,0.5693670200082508,0.925325778035647,KXMLBGAME-26MAR302140NYYSEA-SEA
2026-03-30,AZ,DET,Michael Soroka,Justin Verlander,2026-03-31T02:10:00Z,0.5390434378699874,0.5410830208530737,0.5362582,0.505,0.5,0.51,0.010000000000000009,1879.0,0.034043437869987425,0.034043437869987425,watch,0.5090434378699874,0.5690434378699875,0.9879086828930983,KXMLBGAME-26MAR302210DETAZ-AZ
2026-03-30,KC,MIN,Kris Bubic,Simeon Woods Richardson,2026-03-30T20:10:00Z,0.6042296253684152,0.5998555887703252,0.6102027,0.58,0.57,0.59,0.020000000000000018,3922.0,0.02422962536841522,0.02422962536841522,watch,0.5742296253684152,0.6342296253684152,0.9973770811679694,KXMLBGAME-26MAR301610MINKC-KC
2026-03-30,MIL,TB,Kyle Harrison,Nick Martinez,2026-03-30T23:40:00Z,0.5743831769768402,0.57742017501607,0.5702359,0.595,0.59,0.6,0.010000000000000009,1613.0,-0.020616823023159814,0.020616823023159814,watch,0.5443831769768401,0.6043831769768402,0.9200010812443985,KXMLBGAME-26MAR301940TBMIL-MIL
2026-03-30,CIN,PIT,Chase Burns,Braxton Ashcraft,2026-03-30T22:40:00Z,0.5446950052371093,0.5449025835941359,0.54441154,0.525,0.51,0.54,0.030000000000000027,826.0,0.01969500523710932,0.01969500523710932,skip,0.5146950052371093,0.5746950052371094,0.8990658770284969,KXMLBGAME-26MAR301840PITCIN-CIN
2026-03-30,HOU,BOS,Lance McCullers Jr.,Ranger Suarez,2026-03-31T00:10:00Z,0.4654355759162411,0.4765547754817131,0.4502514,0.485,0.48,0.49,0.010000000000000009,539.0,-0.019564424083758913,0.019564424083758913,skip,0.43543557591624105,0.4954355759162411,0.9641930969494161,KXMLBGAME-26MAR302010BOSHOU-HOU
2026-03-30,CHC,LAA,Edward Cabrera,Ryan Johnson,2026-03-30T23:40:00Z,0.6206305664917406,0.6457412394996578,0.5863399,0.63,0.62,0.64,0.020000000000000018,2542.0,-0.009369433508259362,0.009369433508259362,skip,0.5906305664917406,0.6506305664917407,0.8866218049686693,KXMLBGAME-26MAR301940LAACHC-CHC
2026-03-30,ATL,ATH,Bryce Elder,Jacob Lopez,2026-03-30T23:15:00Z,0.5556444620165885,0.5618248236355209,0.5472047,0.565,0.56,0.57,0.009999999999999898,3439.0,-0.009355537983411488,0.009355537983411488,skip,0.5256444620165884,0.5856444620165885,0.9879876472922584,KXMLBGAME-26MAR301915ATHATL-ATL
2026-03-30,BAL,TEX,Chris Bassitt,Jack Leiter,2026-03-30T22:35:00Z,0.5340103625854815,0.5486006542567624,0.5140861,0.525,0.52,0.53,0.010000000000000009,3668.0,0.00901036258548149,0.00901036258548149,skip,0.5040103625854815,0.5640103625854815,1.0,KXMLBGAME-26MAR301835TEXBAL-BAL
